city,Proportion of high school and above,age60
合肥,35.75719697408104,12.625502721103466
黄山,18.614401977954053,16.38581877584659
北京,52.71900873979114,12.543656125563215
福州,29.417898073873612,12.088452475198405
厦门,36.70797573843635,6.933982981564825
泉州,17.465636173218464,8.756869166921017
兰州,41.85063007392089,12.671193195660704
广州,42.79918324338912,9.740104431225824
深圳,41.546627798301685,2.95241119244407
揭阳,13.224831914229396,10.314109619979924
南宁,26.20104518240833,12.862024088033444
桂林,21.446965783010523,14.770292017861134
贵阳,28.970592079648156,11.897091827138736
海口,38.28841200877737,10.074822717565011
石家庄,29.802402411384417,12.634679117667547
郑州,38.28308714561771,10.671919577971202
哈尔滨,30.874369627371117,12.774752770574496
牡丹江,26.31818154208187,14.544561930566191
武汉,46.97285381019128,12.682276880589713
长沙,36.78566477942187,13.647202821436647
张家界,19.23229660879925,16.721183047175895
长春,32.003603129818345,12.62493584221596
南京,46.971842177860765,13.751589256228087
无锡,30.68720674686351,14.702499796451399
常州,28.711438451661003,15.044363214166964
南通,22.554163299523232,23.452411451335614
南昌,34.668004345406686,11.627235022803866
沈阳,38.47215905018535,15.295285529999306
大连,34.25636789971111,15.800414681742526
呼和浩特,37.188286533071235,11.380181852114776
济南,36.63765573855178,13.868494554727453
青岛,32.169019081507734,14.747460352375139
烟台,27.774338344382095,17.008146434331266
威海,28.362386804484217,17.774820119004367
太原,44.09442896882896,11.113073330299562
西安,42.667042047804884,12.542079808328879
上海,42.84591868456222,15.07287656788708
成都,33.42073838104306,14.419291517249357
天津,38.13436179372986,13.020519151354778
乌鲁木齐,44.88470740634957,11.050617835677974
昆明,29.317377591430876,12.09674623445849
杭州,36.600373340315414,13.39988526928673
宁波,24.03691499875948,13.255485466208256
温州,19.73932104683767,11.04565592447881
重庆,21.700953714132588,17.41788944598191
