city,Proportion of high school and above,age0_19,age20_39,age60
合肥,35.75719697408104,22.45663542755012,37.91522825388174,12.625502721103466
黄山,18.614401977954053,20.252395178736993,27.90578227788488,16.38581877584659
北京,52.71900873979114,14.065180706378749,43.63053966762198,12.543656125563215
福州,29.417898073873612,21.83767278970353,38.76161587684349,12.088452475198405
厦门,36.70797573843635,20.06919739125042,50.7604322090126,6.933982981564825
泉州,17.465636173218464,23.571104404693934,42.125854689892996,8.756869166921017
兰州,41.85063007392089,21.114037171443876,36.374217644503304,12.671193195660704
广州,42.79918324338912,19.105730868997416,45.906966396020515,9.740104431225824
深圳,41.546627798301685,17.329696600269866,60.93718699862459,2.95241119244407
揭阳,13.224831914229396,37.459534592368534,29.416603065726747,10.314109619979924
南宁,26.20104518240833,25.730460798751476,35.20322607483516,12.862024088033444
桂林,21.446965783010523,22.139283730728316,32.81763147690915,14.770292017861134
贵阳,28.970592079648156,24.60077948258587,36.580969233641426,11.897091827138736
海口,38.28841200877737,26.351231813583425,38.7353934423826,10.074822717565011
石家庄,29.802402411384417,23.301135364098506,34.86515067020288,12.634679117667547
郑州,38.28308714561771,23.98674686212232,39.407093168970434,10.671919577971202
哈尔滨,30.874369627371117,17.065089778826962,36.82699962231939,12.774752770574496
牡丹江,26.31818154208187,16.62458199686071,33.35313998562916,14.544561930566191
武汉,46.97285381019128,18.890124745181286,38.48732416129028,12.682276880589713
长沙,36.78566477942187,19.843978484727636,36.69571955610548,13.647202821436647
张家界,19.23229660879925,23.660402300444677,29.44263399697865,16.721183047175895
长春,32.003603129818345,18.715973897245128,36.443067695241304,12.62493584221596
南京,46.971842177860765,16.67412151113279,39.51520688317867,13.751589256228087
无锡,30.68720674686351,16.63146596251662,37.204574109653315,14.702499796451399
常州,28.711438451661003,18.178977539346807,34.84015328700638,15.044363214166964
南通,22.554163299523232,16.58317798479932,23.947851769353214,23.452411451335614
南昌,34.668004345406686,27.929589815978613,35.372010995988944,11.627235022803866
沈阳,38.47215905018535,15.249110831735477,33.765103154127885,15.295285529999306
大连,34.25636789971111,15.491705169412079,35.06574762287398,15.800414681742526
呼和浩特,37.188286533071235,21.59763344571908,37.8026348149298,11.380181852114776
济南,36.63765573855178,19.641607611641003,36.333912730056305,13.868494554727453
青岛,32.169019081507734,19.159521872816647,34.44331651537156,14.747460352375139
烟台,27.774338344382095,17.08193878420861,30.459306432276218,17.008146434331266
威海,28.362386804484217,16.48252210251746,30.5775765650743,17.774820119004367
太原,44.09442896882896,22.485714938528062,37.39380215880076,11.113073330299562
西安,42.667042047804884,21.222311999828054,37.75182047648998,12.542079808328879
上海,42.84591868456222,13.48453264831665,40.144599316153354,15.07287656788708
成都,33.42073838104306,17.849259216415586,37.31626520497237,14.419291517249357
天津,38.13436179372986,15.993331011099807,39.43513459976212,13.020519151354778
乌鲁木齐,44.88470740634957,20.5863728205634,39.82443385008927,11.050617835677974
昆明,29.317377591430876,22.761667103789694,37.91952344832079,12.09674623445849
杭州,36.600373340315414,17.781398567624628,37.78029976415954,13.39988526928673
宁波,24.03691499875948,17.640571419630753,36.681923228783084,13.255485466208256
温州,19.73932104683767,22.17096454304063,40.026421541877085,11.04565592447881
重庆,21.700953714132588,24.782153055327623,27.81447589056017,17.41788944598191
