date,到达国家,国内航司,境外航司
2022/5/23 - 2022/5/29,中国,11923,90274
2022/5/30 - 2022/6/5,中国,13599,109017
2022/6/6 - 2022/6/12,中国,16406,121650
2022/6/13 - 2022/6/19,中国,16382,122981
2022/6/20 - 2022/6/26,中国,13869,128624
2022/6/27 - 2022/7/3,中国,17167,135312
2022/7/4 - 2022/7/10,中国,17636,138456
2022/7/11 - 2022/7/17,中国,17525,166121
2022/7/18 - 2022/7/24,中国,18037,171221
2022/7/25 - 2022/7/31,中国,24184,185210
2022/8/1 - 2022/8/7,中国,20806,186634
2022/8/8 - 2022/8/14,中国,24242,176422
2022/8/15 - 2022/8/21,中国,20925,169684
2022/8/22 - 2022/8/28,中国,23925,171430
2022/8/29 - 2022/9/4,中国,25687,174324
2022/9/5 - 2022/9/11,中国,25453,179803
2022/9/12 - 2022/9/18,中国,26835,188709
2022/9/19 - 2022/9/25,中国,25828,196273
2022/9/26 - 2022/10/2,中国,27187,202320
2022/10/3 - 2022/10/9,中国,30366,211989
2022/10/10 - 2022/10/16,中国,27881,221290
2022/10/17 - 2022/10/23,中国,28820,225736
2022/10/24 - 2022/10/30,中国,31581,231792
2022/10/31 - 2022/11/6,中国,31136,267302
2022/11/7 - 2022/11/13,中国,34851,264380
2022/11/14 - 2022/11/20,中国,40607,267486
2022/11/21 - 2022/11/27,中国,40906,269489
2022/11/28 - 2022/12/4,中国,41410,298078
2022/12/5 - 2022/12/11,中国,46294,329348
2022/12/12 - 2022/12/18,中国,52848,326552
2022/12/19 - 2022/12/25,中国,54301,333651
2022/12/26 - 2023/1/1,中国,46329,327008
2023/1/2 - 2023/1/8,中国,49473,358674
2023/1/9 - 2023/1/15,中国,76618,372314
2023/1/16 - 2023/1/22,中国,75100,381756
2023/1/23 - 2023/1/29,中国,86539,386180
2023/1/30 - 2023/2/5,中国,102074,419848
2023/2/6 - 2023/2/12,中国,105739,431928
2023/2/13 - 2023/2/19,中国,111135,440981
2023/2/20 - 2023/2/26,中国,109670,251673
2023/2/27 - 2023/3/5,中国,279613,509880
2023/3/6 - 2023/3/12,中国,297564,560050
2023/3/13 - 2023/3/19,中国,297875,560741
2023/3/20 - 2023/3/26,中国,175258,466542
2023/3/27 - 2023/4/2,中国,303902,841244
2023/4/3 - 2023/4/9,中国,358245,1066634
2023/4/10 - 2023/4/16,中国,357149,1074307
2023/4/17 - 2023/4/23,中国,356064,1068118
2023/4/24 - 2023/4/30,中国,350740,1051840
2023/5/1 - 2023/5/7,中国,353614,1061835
2023/5/8 - 2023/5/14,中国,353978,1070261
2023/5/15 - 2023/5/21,中国,353462,1075823
2023/5/22 - 2023/5/28,中国,350435,1068575
2023/5/29 - 2023/6/4,中国,349758,1062483
2023/6/5 - 2023/6/11,中国,353978,1083327
2023/6/12 - 2023/6/18,中国,353708,1087948
2023/6/19 - 2023/6/25,中国,353347,1091823
