Entity,Year,Per capita domestic RPKs
Afghanistan,2018,9.385612084
Algeria,2018,31.19931214
Angola,2018,13.22710401
Argentina,2018,361.4762419
Australia,2018,3064.271133
Austria,2018,22.53230656
Azerbaijan,2018,1.358663309
Bahrain,2018,0
Bangladesh,2018,5.043036174
Belarus,2018,0
Belgium,2018,0
Bolivia,2018,147.4729879
Brazil,2018,455.9288433
Brunei,2018,0
Bulgaria,2018,14.97102727
Cambodia,2018,12.23340936
Canada,2018,1701.988758
Chile,2018,821.2993099
China,2018,537.8955657
Colombia,2018,236.8610251
Costa Rica,2018,1.584199828
Croatia,2018,44.06288015
Cuba,2018,26.46113393
Czechia,2018,1.214879401
Democratic Republic of Congo,2018,7.341740922
Denmark,2018,238.711489
Ecuador,2018,99.58196858
Egypt,2018,9.481438255
El Salvador,2018,0
Ethiopia,2018,7.591244095
Fiji,2018,585.8333941
Finland,2018,362.8326529
France,2018,687.9924759
Georgia,2018,0.496587103
Germany,2018,148.544093
Greece,2018,264.1904078
Hungary,2018,0.089700911
Iceland,2018,267.4971253
India,2018,92.34411205
Indonesia,2018,322.8351438
Iran,2018,142.1288476
Iraq,2018,7.984040104
Ireland,2018,6.605329378
Israel,2018,36.97448653
Italy,2018,364.9096009
Japan,2018,750.7263712
Jordan,2018,2.32409456
Kazakhstan,2018,250.3030653
Kenya,2018,30.99524991
Kuwait,2018,0
Kyrgyzstan,2018,20.27359779
Latvia,2018,1.677140367
Lebanon,2018,0
Libya,2018,12.74627673
Luxembourg,2018,0
Madagascar,2018,7.679739361
Malaysia,2018,636.5638923
Malta,2018,0
Mauritius,2018,84.86049503
Mexico,2018,378.3974751
Moldova,2018,0
Mongolia,2018,28.92256189
Morocco,2018,11.03960105
Myanmar,2018,29.13986048
Namibia,2018,41.58040218
Nepal,2018,15.78401722
Netherlands,2018,372.5449038
New Zealand,2018,1615.48128
Nigeria,2018,9.591311082
Norway,2018,1675.723152
Oman,2018,162.6256099
Pakistan,2018,17.08466887
Panama,2018,30.24176228
Papua New Guinea,2018,116.443835
Peru,2018,272.3227953
Philippines,2018,150.2194822
Poland,2018,15.73200394
Portugal,2018,425.6008025
Qatar,2018,0
Romania,2018,28.25096814
Russia,2018,691.8584943
Rwanda,2018,0.470240214
Saudi Arabia,2018,570.9010435
Serbia,2018,0
Singapore,2018,0
South Africa,2018,219.4525313
South Korea,2018,213.3028865
Spain,2018,618.7626129
Sri Lanka,2018,0.487484002
Suriname,2018,0
Sweden,2018,444.0771569
Switzerland,2018,22.26588022
Tajikistan,2018,0.212581452
Thailand,2018,330.9843762
Trinidad and Tobago,2018,46.57647992
Tunisia,2018,8.550866853
Turkey,2018,409.121618
Turkmenistan,2018,81.10389448
Ukraine,2018,9.824503582
United Arab Emirates,2018,0.19594007
United Kingdom,2018,178.9210033
United States,2018,4058.543162
Uzbekistan,2018,12.71929342
Venezuela,2018,21.5610297
Vietnam,2018,271.4123182
World,2018,420.0814143
